Ology,Meaning,Length,21
Serology,Study of blood serum,8,
Theology,Study of religion,8,
Typology,Study of classification systems,8,
Virology,Study of viruses,8,
Xenology,Study of the influence of foreigners,8,
Zymology,Study of fermentation,8,
Acology,Study of medical remedies,7,
Alology,Study of algae,7,
Biology,Study of life,7,
Ecology,Study of ecosystems,7,
Enology,Study of wine,7,
Geology,Study of the Earth,7,
Orology,Study of mountains,7,
Otology,Study of the ear,7,
Ufology,Study of unidentified flying objects,7,
Urology,Study of the urinary system,7,
Zootomy,Study of animal anatomy,7,
Zymurgy,Study of fermentation in brewing,7,
Oology,Study of eggs,6,
